id_pacjenta,id_ubezpieczenia,imie,nazwisko,data_urodzenia,pesel,adres,telefon
1,1,Gek,Fski,1968-10-03,83120258664,Ul. Uska 25,571146315
2,2,Xka,Fska,1974-06-27,61914224506,Ul. Iska 8,292059276
3,3,Qka,Gska,1971-01-05,42942717520,Ul. Xska 43,868599024
4,4,Ika,Sska,1975-03-01,43068503972,Ul. Jska 82,292424316
5,5,Ika,Fska,2002-02-07,51104372615,Ul. Rska 11,889516088
6,6,Eek,Qski,1984-02-09,71922567431,Ul. Gska 11,876758712
7,7,Qek,Kski,1974-12-17,74094978318,Ul. Mska 61,671023010
8,8,Cka,Qska,1991-07-21,64180084708,Ul. Eska 23,289604048
9,9,Jek,Jski,1988-03-06,83056746048,Ul. Sska 88,332192073
10,10,Wka,Rska,1952-06-09,81911711568,Ul. Pska 15,165801527
11,11,Jka,Gska,1953-06-14,81817361624,Ul. Wska 36,563005570
12,12,Aek,Gski,1999-11-14,52859559415,Ul. Oska 48,148007640
13,13,Nka,Oska,1966-06-14,82485225152,Ul. Wska 43,320769822
14,14,Nka,Xska,1969-02-24,42095173788,Ul. Qska 46,825598000
15,15,Kka,Rska,1945-11-05,83798837296,Ul. Iska 96,262564618
16,16,Oek,Kski,2009-10-18,51199148665,Ul. Aska 82,439329580
17,17,Hka,Sska,1961-09-08,43529047660,Ul. Xska 75,272403512
18,18,Aka,Vska,1963-01-11,81538509376,Ul. Oska 54,835636552
19,19,Bka,Rska,1966-12-10,81141327848,Ul. Xska 29,542517520
20,20,Wka,Jska,1944-04-01,51442243785,Ul. Jska 30,737055687
21,21,Wka,Yska,2001-07-18,41848365644,Ul. Fska 83,564223185
22,22,Kka,Yska,1996-04-20,62497677606,Ul. Jska 53,894996584
23,23,Pka,Oska,1949-11-17,71879805147,Ul. Dska 10,441407340
24,24,Uka,Cska,2007-01-08,72334517157,Ul. Oska 18,341093264
25,25,Pka,Lska,1952-11-20,71966875187,Ul. Fska 46,829959504
26,26,Kka,Kska,1941-09-18,82061307680,Ul. Mska 63,145531020
27,27,Wka,Fska,1949-03-02,42659097512,Ul. Jska 22,878754016
28,28,Fka,Bska,1983-05-09,52440133160,Ul. Bska 28,870070872
29,29,Gek,Cski,1981-09-05,82258772328,Ul. Kska 72,199405077
30,30,Aek,Hski,1946-07-28,53862161940,Ul. Wska 18,190110445
31,31,Eka,Uska,1970-06-02,53413210230,Ul. Bska 63,257005952
32,32,Oka,Gska,1984-03-11,43865701864,Ul. Hska 99,764776174
33,33,Gek,Hski,1964-01-06,53280570285,Ul. Qska 61,666609512
34,34,Mek,Aski,1999-07-11,73984899078,Ul. Kska 89,918549679
35,35,Tek,Dski,1990-05-19,62796796006,Ul. Vska 36,298151866
36,36,Bek,Oski,1993-04-05,63288090860,Ul. Iska 49,317625014
37,37,Oka,Oska,1977-09-08,43407392368,Ul. Yska 32,856612760
38,38,Oka,Rska,1986-03-22,43496882076,Ul. Xska 70,681087186
39,39,Qka,Iska,1947-09-03,63855405984,Ul. Dska 24,896368920
40,40,Tka,Xska,2001-03-12,53051376790,Ul. Qska 39,844384576
41,41,Dka,Wska,1976-10-12,41430438068,Ul. Aska 48,928216865
42,42,Uka,Vska,2005-01-04,81728407064,Ul. Xska 63,124910704
43,43,Pka,Gska,1976-01-18,53721116700,Ul. Dska 66,610480726
44,44,Cka,Eska,1959-09-28,53014050085,Ul. Xska 71,535519995
45,45,Uka,Aska,1992-12-16,42842228704,Ul. Kska 31,996495894
46,46,Aka,Lska,2007-10-18,63068824770,Ul. Tska 51,229548000
47,47,Hek,Xski,1956-05-18,53379380690,Ul. Fska 12,916946539
48,48,Rek,Hski,1981-09-05,82635001920,Ul. Nska 43,344908640
49,49,Aek,Sski,1982-12-01,83593014256,Ul. Iska 58,438746428
50,50,Uek,Tski,1939-05-23,71236675924,Ul. Gska 54,521537895
51,51,Rka,Cska,1953-03-08,41460984556,Ul. Iska 56,174008072
52,52,Eek,Fski,1972-10-05,73468981802,Ul. Mska 3,123526152
53,53,Aek,Yski,1983-03-20,63748930932,Ul. Mska 47,124231027
54,54,Bka,Wska,1977-04-15,83278187752,Ul. Mska 74,479704356
55,55,Gka,Wska,2004-10-19,71550420421,Ul. Oska 76,834587672
56,56,Uka,Eska,1990-10-02,42243013692,Ul. Pska 85,733189733
57,57,Gka,Kska,1956-03-04,81897843048,Ul. Tska 32,939252882
58,58,Nka,Rska,1978-12-14,71549234477,Ul. Vska 32,786641174
59,59,Pka,Lska,1951-01-14,73520602324,Ul. Aska 47,174519348
60,60,Cek,Cski,1947-04-06,74001229346,Ul. Mska 43,446714340
61,61,Bek,Sski,1993-11-13,73073348344,Ul. Kska 25,630626610
62,62,Eka,Vska,1993-07-11,51810654620,Ul. Dska 85,145020384
63,63,Iek,Lski,1997-11-28,61830911826,Ul. Lska 48,299730348
64,64,Nek,Tski,1995-03-09,82891501000,Ul. Pska 60,861253360
65,65,Pka,Mska,1974-01-09,84148811408,Ul. Oska 61,343328287
66,66,Xka,Lska,1995-03-05,42582387580,Ul. Lska 37,285434852
67,67,Vek,Pski,1956-06-09,63894376922,Ul. Rska 52,897017856
68,68,Mka,Xska,1995-12-24,82685239976,Ul. Sska 51,832441792
69,69,Vek,Oski,1959-10-04,72580692190,Ul. Hska 43,584637600
70,70,Yek,Rski,1956-07-26,41120376452,Ul. Aska 30,572255560
71,71,Oka,Nska,1989-07-21,82980117080,Ul. Sska 11,365768841
72,72,Cek,Oski,1940-02-14,41659417076,Ul. Gska 52,572746390
73,73,Tek,Eski,1995-02-25,82283581656,Ul. Eska 53,953205219
74,74,Cka,Aska,1991-03-04,53081282800,Ul. Jska 32,433269388
75,75,Cka,Hska,1945-06-26,73954849317,Ul. Uska 14,271430786
76,76,Oka,Kska,1950-10-20,44104719836,Ul. Tska 2,130420012
77,77,Rka,Gska,1976-11-25,43530414324,Ul. Fska 75,827795752
78,78,Rka,Lska,1968-10-22,53104311925,Ul. Fska 8,194821125
79,79,Ika,Yska,1946-12-20,53557721360,Ul. Oska 54,284304194
80,80,Eek,Tski,1966-03-03,72749876965,Ul. Aska 95,355795604
81,81,Vek,Aski,1974-09-21,63094365822,Ul. Vska 88,444363100
82,82,Mka,Sska,1959-01-26,51848688100,Ul. Wska 73,198520243
83,83,Uek,Gski,1969-11-27,73853064962,Ul. Pska 63,321562373
84,84,Sek,Nski,1955-04-26,64196552734,Ul. Yska 51,667148222
85,85,Hek,Sski,1978-01-03,51351555075,Ul. Mska 54,247606364
86,86,Oek,Lski,1950-11-11,63778256024,Ul. Gska 45,447009952
87,87,Yka,Hska,1995-10-05,83154900920,Ul. Nska 44,594332455
88,88,Oka,Iska,1948-03-19,42333245960,Ul. Kska 36,393609804
89,89,Aek,Hski,1941-08-24,43242303524,Ul. Mska 89,560825975
90,90,Vka,Kska,1958-10-27,72250306279,Ul. Nska 69,934527323
91,91,Lek,Dski,1973-01-06,53745790840,Ul. Kska 89,536335235
92,92,Uek,Mski,1958-07-09,71311117973,Ul. Cska 1,949145441
93,93,Kek,Lski,1958-07-21,73255765401,Ul. Bska 32,915882564
94,94,Bka,Mska,1959-02-20,81058261376,Ul. Uska 49,854328048
95,95,Kka,Sska,1997-05-06,73621184751,Ul. Kska 82,353878564
96,96,Hek,Rski,1966-07-14,72884472865,Ul. Jska 92,370763099
97,97,Wek,Aski,2002-03-03,43593571360,Ul. Qska 79,421744588
98,98,Hka,Kska,1945-03-05,63613983600,Ul. Vska 46,445222364
99,99,Mek,Iski,1943-09-16,51748777955,Ul. Gska 95,559617100
100,100,Uek,Rski,1975-11-20,83992957152,Ul. Aska 57,386520148
101,101,Cka,Mska,2006-04-17,63251258686,Ul. Nska 40,766549100
102,102,Mka,Qska,1952-02-04,82543518224,Ul. Kska 77,136312432
103,103,Eek,Nski,1951-10-03,73740929472,Ul. Yska 66,158829103
104,104,Tek,Fski,1953-01-18,51303537060,Ul. Hska 25,668559540
105,105,Rka,Oska,1989-04-19,73893965697,Ul. Sska 44,468605960
106,106,Oka,Aska,1945-04-07,42457203392,Ul. Uska 4,617191334
107,107,Hka,Xska,1950-12-27,71718425349,Ul. Wska 66,791862176
108,108,Cka,Bska,1981-02-26,82720241624,Ul. Oska 93,530730880
109,109,Fka,Sska,1992-03-07,53032850475,Ul. Wska 61,145416729
110,110,Rka,Aska,1962-05-13,43808453324,Ul. Cska 91,822228824
111,111,Eek,Gski,1958-08-10,83738713200,Ul. Bska 56,435837820
112,112,Hek,Vski,1979-08-18,73252798259,Ul. Vska 89,966412294
113,113,Wka,Dska,2002-11-27,63997954836,Ul. Pska 96,782126238
114,114,Qek,Cski,1962-05-08,43547574872,Ul. Eska 83,581047945
115,115,Iek,Lski,1942-05-25,41373158824,Ul. Vska 29,811709560
116,116,Vka,Kska,1952-01-26,83900296640,Ul. Nska 19,937172216
117,117,Lka,Iska,1966-11-18,43379768820,Ul. Jska 79,873070752
118,118,Bka,Kska,1998-10-18,42737137976,Ul. Nska 31,325609339
119,119,Uka,Mska,1976-04-19,43230546224,Ul. Oska 36,823049016
120,120,Gka,Rska,1948-11-18,81446729088,Ul. Dska 8,752082908
121,121,Kek,Mski,1980-02-24,51821121575,Ul. Oska 37,865934944
122,122,Vka,Pska,1978-07-27,41470476332,Ul. Uska 33,378126706
123,123,Ika,Kska,1988-01-11,53353458860,Ul. Rska 12,188430979
124,124,Rka,Dska,1978-04-23,41607996288,Ul. Xska 30,350913320
125,125,Jek,Wski,1943-08-09,72108548475,Ul. Lska 54,924425658
126,126,Aek,Cski,1942-05-08,64030049184,Ul. Tska 62,934361829
127,127,Hek,Rski,1970-11-16,62453738336,Ul. Yska 74,275961158
128,128,Eek,Gski,1976-09-04,73095884611,Ul. Jska 22,928627178
129,129,Aka,Sska,1955-01-07,61122246890,Ul. Mska 21,777518235
130,130,Vek,Pski,1954-02-07,81517884072,Ul. Rska 62,128203846
131,131,Oka,Sska,1975-05-03,63342861904,Ul. Aska 15,215219440
132,132,Kka,Dska,1982-10-03,51751550755,Ul. Sska 84,775165438
133,133,Lek,Oski,1986-07-26,71854650962,Ul. Nska 73,756442107
134,134,Uek,Nski,1945-04-28,84047928240,Ul. Sska 55,964644234
135,135,Xka,Jska,1951-06-01,73494738535,Ul. Pska 85,130525740
136,136,Bka,Lska,1949-06-04,71644515351,Ul. Bska 68,487480436
137,137,Qek,Yski,1956-11-10,72901704321,Ul. Sska 14,138107909
138,138,Bek,Uski,1950-05-16,61257370194,Ul. Nska 11,368346827
139,139,Uka,Cska,1957-04-24,61127024104,Ul. Wska 63,795035007
140,140,Uka,Sska,2005-02-11,53641155840,Ul. Tska 55,935484330
141,141,Iek,Sski,1992-09-14,51471001515,Ul. Sska 23,555401365
142,142,Iek,Qski,1972-03-21,41872187292,Ul. Yska 33,643658584
143,143,Rka,Oska,1941-06-01,51688600070,Ul. Eska 2,374289994
144,144,Vka,Tska,1948-08-24,64214293530,Ul. Vska 24,557556870
145,145,Eka,Sska,1970-10-20,73353322348,Ul. Fska 59,393417337
146,146,Vka,Iska,1976-03-03,81590954880,Ul. Lska 7,239153060
147,147,Dek,Uski,1953-11-16,81823281248,Ul. Dska 76,582739835
148,148,Qek,Vski,2002-02-24,41216606596,Ul. Oska 97,554285450
149,149,Tka,Cska,1944-03-18,63811046736,Ul. Uska 45,437484284
150,150,Wka,Tska,1944-08-24,63809468888,Ul. Jska 46,145828156
151,151,Qek,Lski,1984-07-18,63230687476,Ul. Wska 20,817853728
152,152,Rek,Lski,1998-10-23,83339961544,Ul. Mska 86,700089420
153,153,Bek,Nski,1991-02-16,81646866680,Ul. Fska 39,943753945
