id_pacjenta,id_ubezpieczenia,imie,nazwisko,data_urodzenia,pesel,adres,telefon
1,1,Pek,Kski,1955-03-26,63698351888,Ul. Tska 66,120009952
2,2,Yka,Uska,1964-02-08,63264772566,Ul. Xska 83,870128864
3,3,Ika,Lska,1988-05-15,41070155720,Ul. Mska 47,752529339
4,4,Oek,Uski,1950-06-13,44048277428,Ul. Kska 58,620745056
5,5,Bek,Cski,1964-10-26,63916402192,Ul. Aska 16,286139162
6,6,Aka,Lska,1949-10-10,71719782686,Ul. Hska 55,220428196
7,7,Wek,Iski,1968-08-01,63122321786,Ul. Xska 52,364291491
8,8,Vka,Tska,1982-09-17,62956481816,Ul. Vska 33,651435984
9,9,Wek,Kski,1973-06-19,81994659824,Ul. Bska 80,542947310
10,10,Hek,Pski,1983-04-16,72278066752,Ul. Lska 22,677351878
11,11,Aek,Iski,1952-11-14,63295982322,Ul. Oska 86,414104080
12,12,Eka,Iska,1991-06-16,63210833824,Ul. Eska 22,456356376
13,13,Hka,Pska,2005-07-13,84097665200,Ul. Wska 82,178821527
14,14,Vek,Fski,1944-06-25,43592177520,Ul. Fska 89,177832118
15,15,Lek,Kski,1939-08-05,81618798608,Ul. Xska 21,596895030
16,16,Sek,Oski,1951-01-23,81440373128,Ul. Cska 3,877428384
17,17,Jka,Dska,1949-07-07,51759444815,Ul. Dska 62,642416760
18,18,Qka,Qska,1959-11-23,54079325790,Ul. Cska 64,657780562
19,19,Eek,Kski,1992-08-23,44012724688,Ul. Aska 4,917260245
20,20,Uek,Pski,1989-05-26,41917996048,Ul. Fska 39,390112474
21,21,Gka,Tska,1942-03-16,43612260008,Ul. Lska 57,898647184
22,22,Kek,Sski,1956-03-22,74264434288,Ul. Bska 95,915315390
23,23,Tka,Uska,1998-05-07,54257237015,Ul. Gska 4,372241274
24,24,Yek,Aski,1995-08-14,73542424983,Ul. Yska 35,871817336
25,25,Jek,Qski,1978-10-12,53632194335,Ul. Gska 4,425860840
26,26,Nka,Lska,1947-08-13,51340079600,Ul. Eska 65,425736552
27,27,Ika,Jska,1962-08-13,44047022336,Ul. Rska 84,192623063
28,28,Rek,Nski,1983-02-05,71976214266,Ul. Sska 40,442431972
29,29,Uek,Lski,1992-03-21,83857422632,Ul. Hska 90,845611200
30,30,Lek,Lski,2002-10-25,82158681312,Ul. Iska 93,873155800
31,31,Uka,Qska,1976-10-22,62330835580,Ul. Gska 22,964362279
32,32,Tek,Rski,1948-12-15,73661200763,Ul. Hska 84,835435896
33,33,Pek,Yski,1963-06-10,83112806312,Ul. Aska 38,975339112
34,34,Pka,Tska,1979-01-07,72226900338,Ul. Fska 8,579118755
35,35,Gek,Gski,1967-04-16,53079744935,Ul. Gska 59,887879256
36,36,Nka,Oska,1999-08-17,52561464240,Ul. Mska 57,177400117
37,37,Pek,Fski,1946-05-13,74163821620,Ul. Oska 29,595728340
38,38,Vka,Kska,1960-09-28,62794663924,Ul. Tska 29,517908885
39,39,Hek,Bski,1970-09-16,72167277140,Ul. Hska 95,337163267
40,40,Lek,Wski,1950-10-19,71551635581,Ul. Aska 17,492390224
41,41,Gka,Gska,1993-04-23,63259555712,Ul. Gska 56,165802811
42,42,Pka,Mska,1940-02-08,63776358148,Ul. Wska 10,261403632
43,43,Sek,Sski,1986-01-22,52512725480,Ul. Nska 17,914810718
44,44,Eek,Aski,1954-03-16,43086230008,Ul. Rska 42,973191377
45,45,Sek,Nski,1963-04-05,81384251592,Ul. Fska 33,523239330
46,46,Ika,Xska,1992-02-15,71996678465,Ul. Yska 95,752415757
47,47,Yek,Aski,1958-02-25,71779692626,Ul. Hska 61,314880547
48,48,Sek,Jski,1946-05-03,41916029876,Ul. Nska 20,827133960
49,49,Kka,Qska,1969-10-27,71172239678,Ul. Lska 15,112205155
50,50,Lek,Pski,1952-04-21,71316276335,Ul. Bska 41,155413645
51,51,Gka,Lska,2008-05-26,51783707845,Ul. Cska 21,115927672
52,52,Gek,Lski,2008-08-10,52790538890,Ul. Wska 71,435781712
53,53,Lka,Jska,1996-06-06,52593585240,Ul. Sska 84,868538848
54,54,Jek,Gski,1943-05-11,51866597385,Ul. Cska 44,793120204
55,55,Xka,Jska,1945-12-04,53565435245,Ul. Cska 83,745819168
56,56,Ika,Rska,1948-06-25,64163943754,Ul. Mska 14,845008928
57,57,Fka,Yska,1988-05-23,73966828541,Ul. Wska 52,140206047
58,58,Cek,Wski,2000-02-28,51163516055,Ul. Jska 36,939696524
59,59,Yek,Fski,1984-04-03,41232618120,Ul. Fska 13,329638397
